ZIP,LAT,LNG,City,State
00601,18.180555, -66.749961,ADJUNTAS,PR
00602,18.361945, -67.175597,AGUADA,PR
00603,18.455183, -67.119887,AGUADILLA,PR
00606,18.158327, -66.932928,MARICAO,PR
00610,18.295366, -67.125135,ANASCO,PR
00612,18.402253, -66.711397,ARECIBO,PR
00616,18.420412, -66.671979,BAJADERO,PR
00617,18.447538, -66.557681,BARCELONETA,PR
00622,17.991245, -67.153993,BOQUERON,PR
00623,18.083361, -67.153897,CABO ROJO,PR
00624,18.064919, -66.716683,PENUELAS,PR
00627,18.412600, -66.863926,CAMUY,PR
00631,18.190607, -66.832041,CASTANER,PR
00637,18.076713, -66.947389,SABANA GRANDE,PR
00638,18.295913, -66.515588,CIALES,PR
00641,18.263097, -66.712963,UTUADO,PR
00646,18.433150, -66.285875,DORADO,PR
00647,17.963613, -66.947127,ENSENADA,PR
00650,18.349416, -66.578079,FLORIDA,PR
00652,18.448440, -66.594110,GARROCHALES,PR
00653,17.985033, -66.886536,GUANICA,PR
00656,18.053539, -66.792931,GUAYANILLA,PR
00659,18.407226, -66.808999,HATILLO,PR
00660,18.134695, -67.116199,HORMIGUEROS,PR
00662,18.468297, -67.015751,ISABELA,PR
00664,18.210330, -66.591616,JAYUYA,PR
00667,18.003422, -67.035810,LAJAS,PR
00669,18.277102, -66.869645,LARES,PR
00670,18.240187, -66.988776,LAS MARIAS,PR
00674,18.422908, -66.489337,MANATI,PR
00676,18.377637, -67.079574,MOCA,PR
00677,18.332568, -67.227022,RINCON,PR
00678,18.434099, -66.927384,QUEBRADILLAS,PR
00680,18.178225, -67.151514,MAYAGUEZ,PR
00682,18.221464, -67.156039,MAYAGUEZ,PR
00683,18.107800, -67.037263,SAN GERMAN,PR
00685,18.332929, -66.959689,SAN SEBASTIAN,PR
00687,18.319026, -66.420557,MOROVIS,PR
00688,18.382311, -66.626416,SABANA HOYOS,PR
00690,18.495510, -67.098671,SAN ANTONIO,PR
00692,18.410188, -66.336556,VEGA ALTA,PR
00693,18.422987, -66.397214,VEGA BAJA,PR
00694,18.483063, -66.392379,VEGA BAJA,PR
00698,18.064848, -66.856319,YAUCO,PR
00703,18.248401, -66.130662,AGUAS BUENAS,PR
00704,17.965770, -66.219555,AGUIRRE,PR
00705,18.128961, -66.266683,AIBONITO,PR
00707,18.014055, -65.920751,MAUNABO,PR
00714,18.003025, -66.046237,ARROYO,PR
00715,18.011233, -66.560065,MERCEDITA,PR
00716,17.991269, -66.606774,PONCE,PR
00717,18.003222, -66.614037,PONCE,PR
00718,18.231988, -65.759623,NAGUABO,PR
00719,18.289920, -66.253440,NARANJITO,PR
00720,18.217946, -66.428076,OROCOVIS,PR
00723,18.043498, -66.015479,PATILLAS,PR
00725,18.218819, -66.042375,CAGUAS,PR
00727,18.215308, -66.073565,CAGUAS,PR
00728,17.989853, -66.664116,PONCE,PR
00729,18.323585, -65.883206,CANOVANAS,PR
00730,18.030831, -66.616838,PONCE,PR
00731,18.109947, -66.635622,PONCE,PR
00735,18.252603, -65.682494,CEIBA,PR
00736,18.103624, -66.151667,CAYEY,PR
00738,18.308717, -65.738915,FAJARDO,PR
00739,18.177233, -66.160645,CIDRA,PR
00740,18.331178, -65.634104,PUERTO REAL,PR
00741,18.163855, -65.754042,PUNTA SANTIAGO,PR
00745,18.352216, -65.817387,RIO GRANDE,PR
00751,18.001317, -66.252183,SALINAS,PR
00754,18.147107, -65.976167,SAN LORENZO,PR
00757,17.995441, -66.391334,SANTA ISABEL,PR
00765,18.130096, -65.439369,VIEQUES,PR
00766,18.133197, -66.476659,VILLALBA,PR
00767,18.069489, -65.896161,YABUCOA,PR
00769,18.103800, -66.357586,COAMO,PR
00771,18.187148, -65.871189,LAS PIEDRAS,PR
00772,18.438944, -65.905220,LOIZA,PR
00773,18.342888, -65.723109,LUQUILLO,PR
00775,18.326599, -65.307720,CULEBRA,PR
00777,18.224133, -65.908542,JUNCOS,PR
00778,18.264076, -65.978510,GURABO,PR
00780,18.102834, -66.568105,COTO LAUREL,PR
00782,18.225708, -66.221633,COMERIO,PR
00783,18.303910, -66.326179,COROZAL,PR
00784,18.010714, -66.133615,GUAYAMA,PR
00786,18.155424, -66.229907,LA PLATA,PR
00791,18.136782, -65.821476,HUMACAO,PR
00794,18.200018, -66.309282,BARRANQUITAS,PR
00795,18.060494, -66.500624,JUANA DIAZ,PR
00801,18.349806, -64.974001,ST THOMAS,VI
00802,18.340709, -64.923329,ST THOMAS,VI
00820,17.743100, -64.686556,CHRISTIANSTED,VI
00823,17.723548, -64.745932,CHRISTIANSTED,VI
00824,17.744557, -64.682933,CHRISTIANSTED,VI
00830,18.338559, -64.736530,ST JOHN,VI
00831,18.327293, -64.786717,ST JOHN,VI
00840,17.677880, -64.902189,FREDERIKSTED,VI
00841,17.758634, -64.817451,FREDERIKSTED,VI
00850,17.745949, -64.800550,KINGSHILL,VI
00851,17.732228, -64.770760,KINGSHILL,VI
00901,18.465369, -66.104613,SAN JUAN,PR
00906,18.464460, -66.094995,SAN JUAN,PR
00907,18.452553, -66.077838,SAN JUAN,PR
00909,18.441610, -66.067132,SAN JUAN,PR
00911,18.451159, -66.056199,SAN JUAN,PR
00912,18.445334, -66.060139,SAN JUAN,PR
00913,18.450002, -66.042656,SAN JUAN,PR
00915,18.437179, -66.045571,SAN JUAN,PR
00917,18.420674, -66.050105,SAN JUAN,PR
00918,18.421022, -66.065789,SAN JUAN,PR
00920,18.414292, -66.088042,SAN JUAN,PR
00921,18.392292, -66.088528,SAN JUAN,PR
00923,18.409029, -66.038586,SAN JUAN,PR
00924,18.399186, -66.012580,SAN JUAN,PR
00925,18.400296, -66.050602,SAN JUAN,PR
00926,18.345400, -66.051545,SAN JUAN,PR
00927,18.388011, -66.072089,SAN JUAN,PR
00934,18.411313, -66.124234,FORT BUCHANAN,PR
00936,18.395463, -66.073772,SAN JUAN,PR
00949,18.430696, -66.212833,TOA BAJA,PR
00950,18.459699, -66.233101,TOA BAJA,PR
00951,18.427530, -66.253789,TOA BAJA,PR
00952,18.427448, -66.182026,SABANA SECA,PR
00953,18.360729, -66.251527,TOA ALTA,PR
00956,18.321137, -66.170419,BAYAMON,PR
00957,18.368371, -66.187800,BAYAMON,PR
00959,18.385785, -66.155654,BAYAMON,PR
00960,18.416641, -66.144555,BAYAMON,PR
00961,18.413307, -66.164683,BAYAMON,PR
00962,18.444614, -66.148819,CATANO,PR
00965,18.433757, -66.114752,GUAYNABO,PR
00966,18.401521, -66.117597,GUAYNABO,PR
00968,18.406085, -66.101232,GUAYNABO,PR
00969,18.368062, -66.108062,GUAYNABO,PR
00971,18.318884, -66.119190,GUAYNABO,PR
00976,18.336180, -65.994101,TRUJILLO ALTO,PR
00979,18.444394, -66.030035,CAROLINA,PR
00982,18.411261, -65.992045,CAROLINA,PR
00983,18.416737, -65.974862,CAROLINA,PR
00985,18.410774, -65.947927,CAROLINA,PR
00987,18.338161, -65.941083,CAROLINA,PR
01001,42.062368, -72.625754,AGAWAM,MA
01002,42.364031, -72.458759,AMHERST,MA
01003,42.389698, -72.524009,AMHERST,MA
01005,42.418884, -72.112077,BARRE,MA
01007,42.279010, -72.400468,BELCHERTOWN,MA
01008,42.190191, -72.954263,BLANDFORD,MA
01009,42.209669, -72.339743,BONDSVILLE,MA
01010,42.128176, -72.205352,BRIMFIELD,MA
01011,42.290128, -72.966516,CHESTER,MA
01012,42.375425, -72.858192,CHESTERFIELD,MA
01013,42.154903, -72.602804,CHICOPEE,MA
01020,42.172611, -72.561920,CHICOPEE,MA
01022,42.197741, -72.542713,CHICOPEE,MA
01026,42.465495, -72.918267,CUMMINGTON,MA
01027,42.295008, -72.751877,EASTHAMPTON,MA
01028,42.062378, -72.498111,EAST LONGMEADOW,MA
01029,42.193395, -73.044647,EAST OTIS,MA
01030,42.072925, -72.686972,FEEDING HILLS,MA
01031,42.329380, -72.198156,GILBERTVILLE,MA
01032,42.457613, -72.814780,GOSHEN,MA
01033,42.244949, -72.500143,GRANBY,MA
01034,42.093912, -72.961103,GRANVILLE,MA
01035,42.356491, -72.568632,HADLEY,MA
01036,42.071188, -72.417718,HAMPDEN,MA
01037,42.376036, -72.197364,HARDWICK,MA
01038,42.379925, -72.604045,HATFIELD,MA
01039,42.404287, -72.688924,HAYDENVILLE,MA
01040,42.211656, -72.642448,HOLYOKE,MA
01050,42.286762, -72.869695,HUNTINGTON,MA
01053,42.356301, -72.713584,LEEDS,MA
01054,42.468898, -72.484579,LEVERETT,MA
01056,42.183577, -72.457812,LUDLOW,MA
01057,42.093596, -72.321494,MONSON,MA
01060,42.321251, -72.630395,NORTHAMPTON,MA
01062,42.323033, -72.701789,FLORENCE,MA
01063,42.318882, -72.638530,NORTHAMPTON,MA
01066,42.406909, -72.655015,NORTH HATFIELD,MA
01068,42.350862, -72.044248,OAKHAM,MA
01069,42.188862, -72.306480,PALMER,MA
01070,42.518446, -72.919017,PLAINFIELD,MA
01071,42.160064, -72.873840,RUSSELL,MA
01072,42.456968, -72.417244,SHUTESBURY,MA
01073,42.226949, -72.741588,SOUTHAMPTON,MA
01074,42.387603, -72.093230,SOUTH BARRE,MA
01075,42.256532, -72.580248,SOUTH HADLEY,MA
01077,42.052570, -72.777353,SOUTHWICK,MA
01079,42.194327, -72.328888,THORNDIKE,MA
01080,42.185727, -72.361558,THREE RIVERS,MA
01081,42.061313, -72.234411,WALES,MA
01082,42.299749, -72.279164,WARE,MA
01083,42.203642, -72.194599,WARREN,MA
01084,42.392370, -72.882235,WEST CHESTERFIELD,MA
01085,42.153503, -72.771602,WESTFIELD,MA
01086,42.130446, -72.793967,WESTFIELD,MA
01088,42.391709, -72.646494,WEST HATFIELD,MA
01089,42.125451, -72.649734,WEST SPRINGFIELD,MA
01092,42.191868, -72.235108,WEST WARREN,MA
01093,42.441943, -72.661817,WHATELY,MA
01094,42.359108, -72.136800,WHEELWRIGHT,MA
01095,42.138527, -72.420703,WILBRAHAM,MA
01096,42.397138, -72.763554,WILLIAMSBURG,MA
01097,42.178038, -72.832612,WORONOCO,MA
01098,42.394315, -72.943115,WORTHINGTON,MA
01103,42.104106, -72.592027,SPRINGFIELD,MA
01104,42.134009, -72.565378,SPRINGFIELD,MA
01105,42.099958, -72.580765,SPRINGFIELD,MA
01106,42.048054, -72.569275,LONGMEADOW,MA
01107,42.121060, -72.607068,SPRINGFIELD,MA
01108,42.080692, -72.560791,SPRINGFIELD,MA
01109,42.119674, -72.549726,SPRINGFIELD,MA
01118,42.094587, -72.525219,SPRINGFIELD,MA
01119,42.124978, -72.511210,SPRINGFIELD,MA
01128,42.092296, -72.489135,SPRINGFIELD,MA
01129,42.118671, -72.488203,SPRINGFIELD,MA
01151,42.151860, -72.509131,INDIAN ORCHARD,MA
01199,42.120563, -72.604468,SPRINGFIELD,MA
01201,42.448236, -73.273727,PITTSFIELD,MA
01220,42.623808, -73.116741,ADAMS,MA
01222,42.058703, -73.322175,ASHLEY FALLS,MA
01223,42.312225, -73.110124,BECKET,MA
01224,42.513163, -73.195743,BERKSHIRE,MA
01225,42.563401, -73.153335,CHESHIRE,MA
01226,42.481119, -73.135073,DALTON,MA
01229,42.277932, -73.332032,GLENDALE,MA
01230,42.173196, -73.324290,GREAT BARRINGTON,MA
01235,42.425677, -73.063028,HINSDALE,MA
01236,42.266496, -73.378393,HOUSATONIC,MA
01237,42.537915, -73.271649,LANESBORO,MA
01238,42.297501, -73.230148,LEE,MA
01240,42.367858, -73.269763,LENOX,MA
01242,42.333734, -73.249199,LENOX DALE,MA
01243,42.350122, -73.024112,MIDDLEFIELD,MA
01244,42.118094, -73.257497,MILL RIVER,MA
01245,42.186893, -73.223105,MONTEREY,MA
01247,42.698526, -73.084300,NORTH ADAMS,MA
